Compound ID,smiles,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,Calculated_LogP,Aromatic_Proportion,measured log solubility in mols per litre,ESOL_Predicted_LogS,Solubility_Status
Dicofol,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,1,370.49,1,2,2,20.23,5.599500000000002,0.6,-5.666,-5.976723000000002,Poor👎
Acenapthene,C1Cc2cccc3cccc1c23,2,154.212,0,3,0,0.0,2.938400000000001,0.8333333333333334,-4.63,-3.2639730666666673,Acceptable👍
Dialifos,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,1,393.854,0,2,8,55.84,3.878200000000003,0.2608695652173913,-6.34,-4.390204278260872,Poor👎
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,1,235.906,0,1,0,0.0,3.2116000000000007,0.75,-4.07,-3.8809252,Acceptable👍
Methazole,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,1,261.064,0,2,1,57.14,1.4359999999999995,0.6875,-2.82,-2.8060268,Acceptable👍
p-Phenylphenol,Oc1ccc(cc1)c2ccccc2,1,170.211,1,2,1,20.23,3.059200000000001,0.9230769230769232,-3.48,-3.439681123076924,Acceptable👍
pyracarbolid,CC1=C(CCCO1)C(=O)Nc2ccccc2,1,217.268,1,2,2,38.33,2.709500000000001,0.375,-2.56,-3.0395466000000004,Acceptable👍
Ethyl vinyl ether,CCOC=C,1,72.107,0,0,2,9.23,1.1664,0.0,-0.85,-0.8898954,Acceptable👍
1-Butyne,CCC#C,1,54.092,0,0,0,0.0,1.0295999999999998,0.0,-1.24,-0.8240183999999998,Acceptable👍
4-methoxypteridine,COc1ncnc2nccnc12,1,162.152,0,2,1,60.79,0.4283999999999998,0.8333333333333334,-1.11,-1.6659010666666665,Acceptable👍
3-Methyl-3-heptanol,CCCCC(C)(O)CC,1,130.231,1,0,4,20.23,2.3376,0.0,-1.6,-1.8561202,Acceptable👍
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,1,147.004,0,1,0,0.0,2.993400000000001,0.75,-3.27,-3.1922668000000005,Acceptable👍
3-Ethanoyloxymethylphenytoin,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,324.336,1,3,4,75.71,2.0025999999999997,0.5,-4.47,-3.2185211999999996,Acceptable👍
"Sparsomycin (3,8mg/ml)",CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,1,361.445,4,1,8,132.12,-1.068879999999999,0.2608695652173913,-1.981,-1.0726080782608698,Acceptable👍
3-methylindole,Cc1c[nH]c2ccccc12,1,131.178,1,2,0,15.79,2.4763200000000003,0.9,-2.42,-2.8793852,Acceptable👍
2-methoxypteridine,COc2ncc1nccnc1n2,1,162.152,0,2,1,60.79,0.4283999999999998,0.8333333333333334,-1.11,-1.6659010666666665,Acceptable👍
Dioxacarb,CNC(=O)Oc1ccccc1C2OCCO2,1,223.228,1,2,2,56.79,1.4502,0.375,-1.57,-2.2831395999999997,Acceptable👍
isocarbamid,C1N(C(=O)NCC(C)C)C(=O)NC1,1,185.227,2,1,2,61.44,0.3772000000000002,0.0,-2.15,-1.0940433999999999,Acceptable👍
Acetonitrile,CC#N,1,41.053,0,0,0,23.79,0.52988,0.0,0.26,-0.428353,Acceptable👍
Fenoxycarb,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,1,301.342,1,2,7,56.79,3.6038000000000014,0.5454545454545454,-4.7,-3.920350763636364,Acceptable👍
acetyl sulfisoxazole,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C,1,293.348,1,2,3,89.43,1.9493400000000003,0.55,-3.59,-3.0958418000000005,Acceptable👍
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,1,167.85,0,0,0,0.0,2.5954000000000006,0.0,-2.18,-2.515772,Acceptable👍
1-Butanol,CCCCO,1,74.123,1,0,2,20.23,0.7787999999999999,0.0,0.0,-0.6582065999999999,Acceptable👍
Siduron,CC1CCCCC1NC(=O)Nc2ccccc2,1,232.327,2,2,2,41.13,3.386800000000001,0.3529411764705882,-4.11,-3.5432878705882356,Acceptable👍
"1,3,5-Trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,1,181.449,0,1,0,0.0,3.6468000000000007,0.6666666666666666,-4.48,-3.7558011333333337,Acceptable👍
Furfural,O=Cc1ccco1,1,96.085,0,1,1,30.21,1.0920999999999998,0.7142857142857143,-0.1,-1.5863214285714284,Acceptable👍
3-Methylbutan-1-ol,CC(C)CCO,1,88.15,1,0,2,20.23,1.0248,0.0,-0.51,-0.900154,Acceptable👍
piperonal,O=Cc2ccc1OCOc1c2,1,150.133,0,2,1,35.53,1.2278,0.5454545454545454,-1.63,-1.8819749636363636,Acceptable👍
2-Methylpropene,CC(=C)C,1,56.108,0,0,0,0.0,1.5824,0.0,-2.33,-1.1847816,Acceptable👍
Benzaldehyde,O=Cc1ccccc1,1,106.124,0,1,1,17.07,1.4991,0.75,-1.19,-1.9314017999999997,Acceptable👍
"2,3-Dimethyl-1,3-Butadiene",CC(=C)C(=C)C,1,82.146,0,0,1,0.0,2.1386000000000003,0.0,-2.4,-1.6306232000000003,Acceptable👍
Benfuracarb,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,1,410.536,0,2,8,68.31,4.057500000000004,0.2142857142857142,-4.71,-4.572119628571429,Poor👎
RTI 10,O2c1ccccc1N(C)C(=O)c3cccnc23,1,226.235,0,3,0,42.43,2.4639000000000006,0.7058823529411765,-3.672,-3.317266941176471,Acceptable👍
Fluorene,C1c2ccccc2c3ccccc13,2,166.223,0,3,0,0.0,3.2578000000000014,0.9230769230769232,-5.0,-3.6060735230769243,Acceptable👍
Methylcyclohexane,CC1CCCCC1,1,98.189,0,1,0,0.0,2.5866000000000007,0.0,-3.85,-2.0783298000000006,Acceptable👍
sulfaguanidine,NC(=N)NS(=O)(=O)c1ccc(N)cc1,1,214.25,4,1,2,122.06,-0.5594299999999999,0.4285714285714285,-1.99,-1.0010519571428569,Acceptable👍
Methylparaben,COC(=O)c1ccc(O)cc1,1,152.149,1,1,1,46.53,1.1788,0.5454545454545454,-1.827,-1.8636041636363636,Acceptable👍
2-Methyltetrahydrofurane,CC1CCCO1,1,86.134,0,1,0,9.23,1.1853,0.0,0.11,-1.1207698000000001,Acceptable👍
Santonin,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,1,246.306,0,3,0,43.37,2.419600000000001,0.0,-3.09,-2.8914452000000006,Acceptable👍
Salicin,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,1,286.28,5,2,4,119.61,-1.6424000000000003,0.3,-0.85,-0.5382239999999996,Acceptable👍
1-Iodopropane,CCCI,1,169.993,0,0,1,0.0,1.8314,0.0,-2.29,-1.9817385999999997,Acceptable👍
Ametryn,CCNc1nc(NC(C)C)nc(SC)n1,1,227.337,2,1,5,62.73,1.8456,0.4,-3.04,-2.3782173999999996,Acceptable👍
1-Propanol,CCCO,1,60.096,1,0,1,20.23,0.3887,0.0,0.62,-0.39147619999999994,Acceptable👍
Hydroxyprogesterone-17a,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1,330.468,1,4,1,54.37,3.8384000000000023,0.0,-3.817,-4.241093600000002,Poor👎
2-Pentanol,CCCC(C)O,1,88.15,1,0,2,20.23,1.1673,0.0,-0.29,-0.9899290000000002,Acceptable👍
benzoin,OC(C(=O)c1ccccc1)c2ccccc2,1,212.248,1,2,3,37.3,2.602900000000001,0.75,-2.85,-3.1527646000000003,Acceptable👍
"2,4-Dimethylphenol",Cc1ccc(O)c(C)c1,1,122.167,1,1,0,20.23,2.00904,0.6666666666666666,-1.19,-2.3564639333333335,Acceptable👍
m-Chloronitrobenzene,Clc1cccc(c1)N(=O)=O,1,157.556,0,1,1,43.14,2.2482000000000006,0.6,-2.77,-2.611213200000001,Acceptable👍
ampyrone,Cc2c(N)c(=O)n(c1ccccc1)n2C,1,203.245,1,2,1,52.95,1.0666200000000003,0.7333333333333333,-0.624,-2.2487562666666667,Acceptable👍
"2,2',4,5'-PCB",Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl,1,291.992,0,2,1,0.0,5.967200000000002,0.75,-6.57,-5.898686400000001,Poor👎
"Hexachloro-1,3-butadiene",ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,1,260.762,0,0,1,0.0,4.7574,0.0,-4.92,-4.3878864,Poor👎
Terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,1,241.364,2,1,4,62.73,2.2357,0.375,-4.0,-2.7584478,Acceptable👍
3-Methyl-2-pentanol,CCC(C)CCO,1,102.177,1,0,3,20.23,1.4149,0.0,-0.71,-1.1668844,Acceptable👍
2-methylpteridine,Cc2ncc1nccnc1n2,1,146.153,0,2,0,51.56,0.7282199999999999,0.9090909090909092,-0.12,-1.8776544727272726,Acceptable👍
Danazol,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,1,337.463,1,5,0,46.26,4.221000000000004,0.2,-5.507,-4.739500600000001,Poor👎
1-Iodobutane,CCCCI,1,184.02,0,0,2,0.0,2.2215,0.0,-2.96,-2.2484689999999996,Acceptable👍
2-Bromonapthalene,Brc1ccc2ccccc2c1,1,207.07,0,2,0,0.0,3.6023000000000014,0.9090909090909092,-4.4,-4.066010272727273,Poor👎
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,1,780.949,6,8,7,203.06,2.218100000000001,0.0,-4.081,-5.6172868000000005,Poor👎
Benzyltrifluoride,FC(F)(F)c1ccccc1,1,146.111,0,1,0,0.0,2.705400000000001,0.6,-2.51,-2.8942902000000004,Acceptable👍
Dihexyl phthalate,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,1,334.456,0,1,12,52.6,5.160800000000005,0.25,-6.144,-4.557931200000003,Poor👎
Dibenzothiophene,c1ccc2c(c1)sc3ccccc23,2,184.263,0,3,0,0.0,4.054500000000002,1.0,-4.38,-4.276765600000001,Poor👎
"2,3',4,4'-PCB",Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl,1,326.437,0,2,1,0.0,6.620600000000001,0.7058823529411765,-7.8,-6.491240341176471,Poor👎
"2,2',3,3',4,4'-PCB",Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl,1,360.882,0,2,1,0.0,7.274000000000001,0.6666666666666666,-8.01,-7.087421733333334,Poor👎
Warfarin,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O,1,308.333,1,3,4,67.51,3.609600000000003,0.6956521739130435,-3.893,-4.276495208695654,Poor👎
hydrobenzoin,c1ccccc1C(O)C(O)c2ccccc2,1,214.264,2,2,3,40.46,2.4536000000000007,0.75,-1.93,-3.0712048000000003,Acceptable👍
Dimethyl phthalate,COC(=O)c1ccccc1C(=O)OC,1,194.186,0,1,2,52.6,1.2597999999999998,0.4285714285714285,-1.66,-2.022770057142857,Acceptable👍
Ethyl octanoate,CCCCCCCC(=O)OCC,1,172.268,0,0,7,26.3,2.910000000000001,0.0,-3.39,-2.2793616000000005,Acceptable👍
Diethyldisulfide,CCSSCC,1,122.258,0,0,3,0.0,2.4076000000000004,0.0,-2.42,-1.9167876000000006,Acceptable👍
"1,2-Diethoxyethane ",CCOCCOCC,1,118.176,0,0,5,18.46,1.0594,0.0,-0.77,-0.9101131999999998,Acceptable👍
"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,1,215.894,0,1,0,0.0,4.3002,0.6,-5.56,-4.3316688,Poor👎
p-benzidine,Nc1ccc(cc1)c2ccc(N)cc2,1,184.242,2,2,1,52.04,2.518,0.8571428571428571,-2.7,-3.136926114285714,Acceptable👍
1-Heptene,CCCCCC=C,1,98.189,0,0,4,0.0,2.752700000000001,0.0,-3.73,-1.9189728000000008,Acceptable👍
Ethirimol,CCCCc1c(C)nc(NCC)[nH]c1=O,1,209.293,2,1,5,57.78,1.85272,0.4,-3.028,-2.2708302,Acceptable👍
Pentobarbital,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,1,226.276,2,1,4,75.27,1.1849999999999992,0.0,-2.39,-1.7254611999999994,Acceptable👍
o-Chloroaniline,Nc1ccccc1Cl,1,127.574,1,1,0,26.02,1.9222,0.75,-1.52,-2.3969448,Acceptable👍
3-Chloroanisole,COc1cccc(Cl)c1,1,142.585,0,1,1,9.23,2.3486,0.6666666666666666,-2.78,-2.630978333333333,Acceptable👍
Pebulate,CCCCN(CC)C(=O)SCCC,1,203.351,0,0,6,20.31,3.3716000000000026,0.0,-3.53,-2.828884200000002,Acceptable👍
Butyl acetate,CCCCOC=O,1,102.133,0,0,4,26.3,0.9595,0.0,-1.37,-0.8137095999999999,Acceptable👍
Prednisolone,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,1,360.45,3,4,2,94.83,1.5576,0.0,-3.18,-2.9240779999999997,Acceptable👍
Bromodichloromethane,BrC(Cl)Cl,1,163.829,0,0,0,0.0,2.1425,0.0,-1.54,-2.2055148,Acceptable👍
adrenosterone,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),1,300.398,0,4,0,51.21,3.2664000000000017,0.0,-3.48,-3.7602996000000015,Acceptable👍
p-terphenyl,c1ccc(cc1)c2ccc(cc2)c3ccccc3,2,230.31,0,3,2,0.0,5.020600000000004,1.0,-7.11,-5.0389000000000035,Poor👎
p-Hydroxybenzaldehyde,Oc1ccc(C=O)cc1,1,122.123,1,1,1,37.3,1.2047,0.6666666666666666,-0.96,-1.7834569333333334,Acceptable👍
Bromomethane,CBr,1,94.939,0,0,0,0.0,1.0111,0.0,-0.79,-1.0656148,Acceptable👍
Perfluidone,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,1,379.381,1,2,4,80.31,3.0893200000000016,0.5,-3.8,-4.2444338,Poor👎
Coumachlor,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,1,342.778,1,3,4,67.51,4.263000000000003,0.6666666666666666,-5.839,-4.880246933333334,Poor👎
2-Ethylnaphthalene,CCc1ccc2ccccc2c1,1,156.228,0,2,1,0.0,3.402200000000001,0.8333333333333334,-4.29,-3.5026662666666675,Acceptable👍
5-methylcytosine,Nc1c(C)c[nH]c(=O)n1,1,125.131,2,1,0,71.77,-0.3394800000000001,0.6666666666666666,-1.458,-0.8952731333333331,Acceptable👍
"2,3,4,5,6-PCB",Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl,1,326.437,0,2,1,0.0,6.620600000000001,0.7058823529411765,-7.92,-6.491240341176471,Poor👎
benodanil,c1c(NC(=O)c2ccccc2(I))cccc1,1,323.133,1,2,2,29.1,3.5435000000000016,0.75,-4.21,-4.4988296000000005,Poor👎
Riboflavin,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,1,376.369,5,3,5,161.56,-1.7235599999999989,0.5185185185185185,-3.685,-1.1413487037037042,Acceptable👍
o-Fluorobromobenzene,Fc1ccccc1Br,1,175.0,0,1,0,0.0,2.5882000000000005,0.75,-2.7,-3.1105660000000004,Acceptable👍
"2,4-Dichlorophenol ",Oc1ccc(Cl)cc1Cl,1,163.003,1,1,0,20.23,2.699,0.6666666666666666,-1.55,-3.0443219333333333,Acceptable👍
Permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,1,391.294,0,3,6,35.53,6.113300000000004,0.4615384615384615,-6.291,-6.062940261538464,Poor👎
piroxicam,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3,1,331.353,2,3,2,99.6,1.5810000000000002,0.5217391304347826,-4.16,-3.144505556521739,Acceptable👍
3-Propanoyloxymethylphenytoin,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,338.363,1,3,5,75.71,2.3927000000000005,0.48,-4.907,-3.4704516000000005,Acceptable👍
Cyclopentane,C1CCCC1,2,70.135,0,1,0,0.0,1.9505,0.0,-2.64,-1.5036520000000002,Acceptable👍
o-Toluidine,Cc1ccccc1N,1,107.156,1,1,0,26.02,1.57722,0.75,-2.21,-2.0530158,Acceptable👍
Estragole,c1(OC)ccc(CC=C)cc1,1,148.205,0,1,3,9.23,2.4237,0.5454545454545454,-2.92,-2.491438363636364,Acceptable👍
karbutilate,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,1,279.34,2,1,2,70.67,2.6670000000000007,0.3,-2.93,-3.342118,Acceptable👍
3-Methyl-1-Butene,CC(C)C=C,1,70.135,0,0,1,0.0,1.8284,0.0,-2.73,-1.3607289999999999,Acceptable👍
2-Hydroxypyridine,Oc1ccccn1,1,95.101,1,1,0,33.12,0.7871999999999999,0.8571428571428571,1.02,-1.5598479142857142,Acceptable👍
Ethane,CC,1,30.07,0,0,0,0.0,1.0262,0.0,-1.36,-0.67294,Acceptable👍
"1,2-Dichlorobenzene",Clc1ccccc1Cl,1,147.004,0,1,0,0.0,2.9934000000000003,0.75,-3.05,-3.1922668000000005,Acceptable👍
mercaptobenzothiazole,Sc2nc1ccccc1s2,1,167.258,1,2,0,12.89,2.585,0.9,-3.18,-3.1715496,Acceptable👍
"2,2',3,3',4,4',5,5',6,6'-PCB",Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,1,498.662,0,2,1,0.0,9.8876,0.5454545454545454,-11.6,-9.498528763636363,Poor👎
Methoxsalen,COc2c1occc1cc3ccc(=O)oc23,1,216.192,0,3,1,52.58,2.5478000000000005,0.8125,-3.664,-3.3207544000000007,Acceptable👍
Acetamide,CC(=O)N,1,59.068,1,0,0,43.09,-0.5084,0.0,1.58,0.11407039999999996,Acceptable👍
1-Methylnaphthalene,Cc1cccc2ccccc12,1,142.201,0,2,0,0.0,3.148220000000002,0.9090909090909092,-3.7,-3.377752072727274,Acceptable👍
Napropamide,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,1,271.36,0,2,5,29.54,3.475500000000002,0.5,-3.57,-3.751997000000001,Acceptable👍
"3,3-Dimethyl-2-butanol",CC(O)C(C)(C)C,1,102.177,1,0,0,20.23,1.4133,0.0,-0.62,-1.3638764,Acceptable👍
Methyl pentanoate,CCCC(=O)OCC,1,116.16,0,0,3,26.3,1.3496,0.0,-1.36,-1.21244,Acceptable👍
Menadione,CC2=CC(=O)c1ccccc1C2=O,1,172.183,0,2,0,34.14,2.0119,0.4615384615384615,-3.03,-2.516570061538461,Acceptable👍
Phenanthrene,c1ccc2c(c1)ccc3ccccc32,2,178.234,0,3,0,0.0,3.993000000000002,1.0,-5.26,-4.200640800000001,Poor👎
"2,4-Dimethylpyridine",Cc1ccnc(C)c1,1,107.156,0,1,0,12.89,1.69844,0.75,0.38,-2.1293844,Acceptable👍
1-Nonanol,CCCCCCCCCO,1,144.258,1,0,7,20.23,2.7293000000000016,0.0,-3.01,-1.9918586000000011,Acceptable👍
Dibromomethane,BrCBr,1,173.835,0,0,0,0.0,1.7337,0.0,-1.17,-2.010008,Acceptable👍
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1,392.467,3,4,2,94.83,1.8957,0.0,-3.59,-3.3355864,Acceptable👍
"2,6-Dimethylnaphthalene ",Cc1ccc2cc(C)ccc2c1,1,156.228,0,2,0,0.0,3.456640000000002,0.8333333333333334,-4.89,-3.6029634666666674,Acceptable👍
Butylate,CCSC(=O)N(CC(C)C)CC(C)C,1,217.378,0,0,5,20.31,3.4735000000000023,0.0,-3.68,-3.046048600000001,Acceptable👍
nitroglycerin,O=N(=O)OCC(CON(=O)=O)ON(=O)=O,1,227.085,0,0,8,157.11,-1.0200999999999996,0.0,-2.22,-0.07726400000000011,Acceptable👍
m-Nitroaniline,Nc1cccc(c1)N(=O)=O,1,138.126,1,1,1,69.16,1.177,0.6,-2.19,-1.8158911999999998,Acceptable👍
1-Chlorobutane,CCCCCl,1,92.569,0,0,2,0.0,2.0253,0.0,-2.03,-1.5578668000000002,Acceptable👍
triforine,ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl,1,430.934,2,1,6,64.68,2.431,0.0,-4.19,-3.6473208,Acceptable👍
Fluridone,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,1,329.321,0,3,2,22.0,4.738100000000002,0.75,-4.445,-5.289793200000001,Poor👎
6-aminochrysene,Nc3cc2c1ccccc1ccc2c4ccccc34,1,243.309,1,4,0,26.02,4.728400000000002,0.9473684210526316,-6.2,-5.0284604315789485,Poor👎
Estrone,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,1,270.372,1,4,0,37.3,3.817400000000003,0.3,-3.955,-4.143268400000002,Poor👎
RTI 17,CCN2c1ccccc1N(C)C(=S)c3cccnc23,1,269.373,0,3,1,19.37,3.3649000000000022,0.631578947368421,-4.706,-4.031368021052633,Poor👎
"1,2-Propylene oxide",CC1CO1,1,58.08,0,1,0,12.53,0.4051,0.0,-0.59,-0.45530899999999996,Acceptable👍
Nitrazepam,O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O,1,281.271,1,3,2,84.6,2.3843,0.5714285714285714,-3.796,-3.376846342857143,Acceptable👍
"1,3-diethylthiourea",CCNC(=S)NCC,1,132.232,2,0,2,24.06,0.4903,0.0,-1.46,-0.8367274,Acceptable👍
"2,3,5-Trichlorophenol",Oc1cc(Cl)cc(Cl)c1Cl,1,197.448,1,1,0,20.23,3.3523999999999994,0.6,-2.67,-3.6201896,Acceptable👍
Propyl propanoate,CCCCC(=O)OC,1,116.16,0,0,3,26.3,1.3496,0.0,-1.34,-1.21244,Acceptable👍
Aniline,Nc1ccccc1,1,93.129,1,1,0,26.02,1.2688,0.8571428571428571,-0.41,-1.851029514285714,Acceptable👍
"1,5-Dimethlnapthalene",Cc1cccc2c(C)cccc12,1,156.228,0,2,0,0.0,3.456640000000002,0.8333333333333334,-4.679,-3.6029634666666674,Acceptable👍
hydrochlorothiazide,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl,1,297.745,3,2,1,118.36,-0.3512999999999994,0.3529411764705882,-2.63,-1.6598764705882354,Acceptable👍
Acenapthylene,C1=Cc2cccc3cccc1c23,2,152.196,0,3,0,0.0,3.3236000000000017,0.8333333333333334,-3.96,-3.494149866666668,Acceptable👍
Ethyl butyrate,CCCCCOC(=O)CC,1,144.214,0,0,5,26.3,2.1298000000000004,0.0,-1.28,-1.7459008000000003,Acceptable👍
Atratone,CCNc1nc(NC(C)C)nc(OC)n1,1,211.269,2,1,5,71.96,1.1322999999999996,0.4,-2.084,-1.8292167999999995,Acceptable👍
Benzo(a)pyrene,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,2,252.316,0,5,0,0.0,5.737200000000003,1.0,-8.699,-5.7587952000000024,Poor👎
Bromoethane,CCBr,1,108.966,0,0,0,0.0,1.4012,0.0,-1.09,-1.3983451999999998,Acceptable👍
3-Hexyne,CCC#CCC,1,82.146,0,0,0,0.0,1.8098,0.0,-1.99,-1.4894792,Acceptable👍
Digitoxin,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,1,764.95,5,8,7,182.83,3.247300000000002,0.0,-5.293,-6.166489000000002,Poor👎
2-Methyl-1-Butene,CCC(=C)C,1,70.135,0,0,1,0.0,1.9725,0.0,-2.73,-1.451512,Acceptable👍
8-quinolinol,Oc1cccc2cccnc12,1,145.161,1,2,0,33.12,1.9403999999999997,0.9090909090909092,-2.42,-2.6351774727272725,Acceptable👍
"1,2,3,4-Tetrahydronapthalene",C1CCc2ccccc2C1,2,132.206,0,2,0,0.0,2.5654000000000003,0.6,-4.37,-2.7198792000000003,Acceptable👍
phenolphthalein,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4,1,318.328,2,4,2,66.76,3.560100000000002,0.75,-2.9,-4.479496600000001,Poor👎
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,1,314.802,0,1,0,0.0,3.974100000000001,0.6666666666666666,-5.6,-4.788788733333334,Poor👎
Ronnel,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,1,321.549,0,1,4,27.69,4.542900000000002,0.375,-5.72,-4.7091308000000005,Poor👎
methylthiouracil,Cc1cc(=O)[nH]c(=S)[nH]1,1,142.183,2,1,0,48.65,0.74091,0.6666666666666666,-2.436,-1.681641233333333,Acceptable👍
Eugenol,COc1cc(CC=C)ccc1O,1,164.204,1,1,3,29.46,2.1293,0.5,-1.56,-2.3715238000000007,Acceptable👍
5-Allyl-5-isopropylbarbital,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,1,210.233,2,1,3,75.27,0.5708999999999995,0.0,-1.708,-1.3051115999999996,Acceptable👍
Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,2,202.256,0,4,0,0.0,4.584000000000002,1.0,-6.176,-4.721907200000001,Poor👎
"1,1-Diethoxyethane ",CCOC(C)OCC,1,118.176,0,0,4,18.46,1.4054,0.0,-0.43,-1.1940932,Acceptable👍
Clomazone,CC1(C)CON(Cc2ccccc2Cl)C1=O,1,239.702,0,2,2,29.54,2.640000000000001,0.375,-2.338,-3.1348524,Acceptable👍
2-Butoxyethanol,CCCCOCCO,1,118.176,1,0,5,29.46,0.7953999999999999,0.0,-0.42,-0.7437931999999998,Acceptable👍
Quintozene,Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,1,295.336,0,1,1,43.14,4.8618,0.4285714285714285,-5.82,-4.985160057142856,Poor👎
Androsterone,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,1,290.447,1,4,0,37.3,3.959100000000003,0.0,-4.402,-4.1350044000000015,Poor👎
Flurochloridone,FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,1,312.118,0,2,2,20.31,3.514400000000002,0.3157894736842105,-4.047,-4.090887810526317,Poor👎
Quinoline,c1ccc2ncccc2c1,2,129.162,0,2,0,12.89,2.2348,1.0,-1.3,-2.7887284,Acceptable👍
methyl gallate,COC(=O)c1cc(O)c(O)c(O)c1,1,184.147,3,1,1,86.99,0.5899999999999996,0.4615384615384615,-1.24,-1.6289498615384612,Acceptable👍
fluconazole,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,1,306.276,1,3,5,81.65,0.7357999999999993,0.7272727272727273,-1.8,-2.4106470181818174,Acceptable👍
Chlorzoxazone,Clc2ccc1oc(=O)[nH]c1c2,1,169.567,1,2,0,46.0,1.7744999999999995,0.8181818181818182,-2.831,-2.614704945454545,Acceptable👍
"2,2',3,4,4',5',6-PCB",Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,1,395.327,0,2,1,0.0,7.9274,0.631578947368421,-7.92,-7.6866578210526315,Poor👎
